Dopant,DOI,x,nH (cm-3),muH (cm2V-1s-1)
,,0.06,5.38E+20,4.62
,,0.08,8.03E+20,2.69
"PbBi, VacCu",10.1111/jace.16469,0,5.60E+18,8.70828
,,0.02,2.42E+19,46.19628
,,0.04,2.48E+19,70.1446
,,0.06,6.19E+19,45.886
,,0.08,5.00E+20,7.74922
"(Pb, Na)Bi",10.1063/1.5066296,0,3.20E+19,10.28
,,0.04,1.80E+20,10.21
,,0.06,4.50E+20,5.78
,,0.08,,
"PbBi, NiCu",10.1016/j.jssc.2018.12.001,0,1.21E+19,9.12
,,0.02,8.96E+19,6.86
,,0.04,1.03E+20,6.33
,,0.06,1.31E+20,5.78
,,0.08,1.57E+20,3.46
,,0.1,1.81E+20,2.76
BaBi MD,10.1021/ja507945h,0.125,1.00E+21,4.1
"PbBi, FeCu",10.1039/C8TA03521K,0,7.80E+20,2.54256
,,0.005,3.01E+20,7.16441
,,0.01,2.21E+20,11
,,0.015,2.29E+20,10.05711
,,0.02,1.91E+20,11
,,0.03,3.00E+20,5.56856
SmBi,10.1016/j.jallcom.2022.165208,0,8.20E+19,3.41
,,0.04,1.61E+20,2.375
,,0.08,2.29E+20,2.23
SmBi RSPS,10.1016/j.jallcom.2022.165208,0,7.82E+19,3.69
,,0.04,1.21E+20,2.8
,,0.08,2.36E+20,2.067
PrBi,10.1021/acsaem.2c01375,0,8.17E+19,3.45
,,0.04,1.71E+20,2.79
,,0.08,2.43E+20,2.67
LaBi,10.1021/acsaem.2c01375,0.02,1.14E+20,2.71
,,0.04,1.58E+20,2.44
,,0.06,1.98E+20,2.2
